,province,candidate_name,votes,rank
0,ABRA,"BINAY, JOJO (UNA)",49196,1.0
8,AGUSAN DEL NORTE,"DUTERTE, RODY (PDPLBN)",184390,1.0
16,AGUSAN DEL SUR,"ROXAS, MAR DAANG MATUWID (LP)",140723,1.0
22,AKLAN,"ROXAS, MAR DAANG MATUWID (LP)",132086,1.0
27,ALBAY,"POE, GRACE (IND)",219202,1.0
34,ANTIQUE,"ROXAS, MAR DAANG MATUWID (LP)",98765,1.0
36,APAYAO,"BINAY, JOJO (UNA)",21793,1.0
44,ASIA,"DUTERTE, RODY (PDPLBN)",54655,1.0
51,AURORA,"POE, GRACE (IND)",33776,1.0
56,BASILAN,"DUTERTE, RODY (PDPLBN)",81044,1.0
62,BATAAN,"DUTERTE, RODY (PDPLBN)",145701,1.0
70,BATANES,"ROXAS, MAR DAANG MATUWID (LP)",3690,1.0
74,BATANGAS,"DUTERTE, RODY (PDPLBN)",336482,1.0
81,BENGUET,"POE, GRACE (IND)",78129,1.0
86,BILIRAN,"DUTERTE, RODY (PDPLBN)",30126,1.0
92,BOHOL,"DUTERTE, RODY (PDPLBN)",311787,1.0
98,BUKIDNON,"DUTERTE, RODY (PDPLBN)",333062,1.0
104,BULACAN,"DUTERTE, RODY (PDPLBN)",506046,1.0
108,CAGAYAN,"BINAY, JOJO (UNA)",222550,1.0
117,CAMARINES NORTE,"POE, GRACE (IND)",114239,1.0
124,CAMARINES SUR,"ROXAS, MAR DAANG MATUWID (LP)",305572,1.0
130,CAMIGUIN,"ROXAS, MAR DAANG MATUWID (LP)",35613,1.0
136,CAPIZ,"ROXAS, MAR DAANG MATUWID (LP)",264242,1.0
141,CATANDUANES,"POE, GRACE (IND)",58372,1.0
146,CAVITE,"DUTERTE, RODY (PDPLBN)",557639,1.0
152,CEBU,"DUTERTE, RODY (PDPLBN)",1128069,1.0
158,COMPOSTELA VALLEY,"DUTERTE, RODY (PDPLBN)",250996,1.0
164,DAVAO DEL NORTE,"DUTERTE, RODY (PDPLBN)",382404,1.0
170,DAVAO DEL SUR,"DUTERTE, RODY (PDPLBN)",958914,1.0
176,DAVAO ORIENTAL,"DUTERTE, RODY (PDPLBN)",181093,1.0
182,DINAGAT ISLANDS,"DUTERTE, RODY (PDPLBN)",28725,1.0
190,EASTERN SAMAR,"ROXAS, MAR DAANG MATUWID (LP)",80018,1.0
194,EUROPE,"DUTERTE, RODY (PDPLBN)",19870,1.0
202,GUIMARAS,"ROXAS, MAR DAANG MATUWID (LP)",50507,1.0
207,IFUGAO,"POE, GRACE (IND)",25018,1.0
212,ILOCOS NORTE,"DUTERTE, RODY (PDPLBN)",102994,1.0
219,ILOCOS SUR,"POE, GRACE (IND)",89435,1.0
226,ILOILO,"ROXAS, MAR DAANG MATUWID (LP)",657717,1.0
228,ISABELA,"BINAY, JOJO (UNA)",363455,1.0
234,KALINGA,"BINAY, JOJO (UNA)",36376,1.0
243,LA UNION,"POE, GRACE (IND)",111253,1.0
248,LAGUNA,"DUTERTE, RODY (PDPLBN)",453524,1.0
254,LANAO DEL NORTE,"DUTERTE, RODY (PDPLBN)",201230,1.0
260,LANAO DEL SUR,"DUTERTE, RODY (PDPLBN)",228541,1.0
266,LEYTE,"DUTERTE, RODY (PDPLBN)",329815,1.0
272,MAGUINDANAO,"DUTERTE, RODY (PDPLBN)",212807,1.0
279,MARINDUQUE,"POE, GRACE (IND)",42573,1.0
286,MASBATE,"ROXAS, MAR DAANG MATUWID (LP)",146382,1.0
290,METROPOLITAN MANILA,"DUTERTE, RODY (PDPLBN)",2120384,1.0
296,MIDDLE EAST AND AFRICAS,"DUTERTE, RODY (PDPLBN)",28585,1.0
304,MISAMIS OCCIDENTAL,"ROXAS, MAR DAANG MATUWID (LP)",129094,1.0
308,MISAMIS ORIENTAL,"DUTERTE, RODY (PDPLBN)",401630,1.0
315,MOUNTAIN PROVINCE,"POE, GRACE (IND)",19934,1.0
322,NEGROS OCCIDENTAL,"ROXAS, MAR DAANG MATUWID (LP)",665736,1.0
328,NEGROS ORIENTAL,"ROXAS, MAR DAANG MATUWID (LP)",246496,1.0
332,NORTH AND LATIN AMERICA,"DUTERTE, RODY (PDPLBN)",2123,1.0
338,NORTH COTABATO,"DUTERTE, RODY (PDPLBN)",397096,1.0
346,NORTHERN SAMAR,"ROXAS, MAR DAANG MATUWID (LP)",98978,1.0
351,NUEVA ECIJA,"POE, GRACE (IND)",326539,1.0
354,NUEVA VIZCAYA,"BINAY, JOJO (UNA)",54672,1.0
364,OCCIDENTAL MINDORO,"ROXAS, MAR DAANG MATUWID (LP)",72644,1.0
369,ORIENTAL MINDORO,"POE, GRACE (IND)",102801,1.0
376,PALAWAN,"ROXAS, MAR DAANG MATUWID (LP)",165149,1.0
380,PAMPANGA,"DUTERTE, RODY (PDPLBN)",433759,1.0
387,PANGASINAN,"POE, GRACE (IND)",559571,1.0
393,QUEZON,"POE, GRACE (IND)",302269,1.0
396,QUIRINO,"BINAY, JOJO (UNA)",22978,1.0
404,RIZAL,"DUTERTE, RODY (PDPLBN)",415408,1.0
412,ROMBLON,"ROXAS, MAR DAANG MATUWID (LP)",52401,1.0
418,SAMAR,"ROXAS, MAR DAANG MATUWID (LP)",129157,1.0
422,SARANGANI,"DUTERTE, RODY (PDPLBN)",141236,1.0
430,SIQUIJOR,"ROXAS, MAR DAANG MATUWID (LP)",26626,1.0
435,SORSOGON,"POE, GRACE (IND)",127071,1.0
440,SOUTH COTABATO,"DUTERTE, RODY (PDPLBN)",335839,1.0
446,SOUTHERN LEYTE,"DUTERTE, RODY (PDPLBN)",92157,1.0
452,SULTAN KUDARAT,"DUTERTE, RODY (PDPLBN)",157791,1.0
458,SULU,"DUTERTE, RODY (PDPLBN)",153805,1.0
464,SURIGAO DEL NORTE,"DUTERTE, RODY (PDPLBN)",131413,1.0
470,SURIGAO DEL SUR,"DUTERTE, RODY (PDPLBN)",131134,1.0
478,TARLAC,"ROXAS, MAR DAANG MATUWID (LP)",194974,1.0
482,TAWI-TAWI,"DUTERTE, RODY (PDPLBN)",68525,1.0
489,ZAMBALES,"POE, GRACE (IND)",132363,1.0
496,ZAMBOANGA DEL NORTE,"ROXAS, MAR DAANG MATUWID (LP)",167788,1.0
500,ZAMBOANGA DEL SUR,"DUTERTE, RODY (PDPLBN)",245273,1.0
506,ZAMBOANGA SIBUGAY,"DUTERTE, RODY (PDPLBN)",114142,1.0
