,region,candidate_name,votes,rank
2,ARMM,"DUTERTE, RODY (PDPLBN)",744722,1.0
9,CAR,"POE, GRACE (IND)",194583,1.0
14,NCR,"DUTERTE, RODY (PDPLBN)",2120384,1.0
22,NIR,"ROXAS, MAR DAANG MATUWID (LP)",912232,1.0
26,OAV,"DUTERTE, RODY (PDPLBN)",105233,1.0
33,REGION I,"POE, GRACE (IND)",821116,1.0
36,REGION II,"BINAY, JOJO (UNA)",664836,1.0
44,REGION III,"DUTERTE, RODY (PDPLBN)",1641763,1.0
50,REGION IV-A,"DUTERTE, RODY (PDPLBN)",1945748,1.0
58,REGION IV-B,"ROXAS, MAR DAANG MATUWID (LP)",412984,1.0
62,REGION IX,"DUTERTE, RODY (PDPLBN)",524640,1.0
69,REGION V,"POE, GRACE (IND)",871944,1.0
76,REGION VI,"ROXAS, MAR DAANG MATUWID (LP)",1203317,1.0
80,REGION VII,"DUTERTE, RODY (PDPLBN)",1456108,1.0
88,REGION VIII,"ROXAS, MAR DAANG MATUWID (LP)",621108,1.0
92,REGION X,"DUTERTE, RODY (PDPLBN)",1053451,1.0
98,REGION XI,"DUTERTE, RODY (PDPLBN)",1773407,1.0
104,REGION XII,"DUTERTE, RODY (PDPLBN)",1031962,1.0
110,REGION XIII,"DUTERTE, RODY (PDPLBN)",588020,1.0
